1	В	в	S	S	Sp-l	4	обст
2	1995	#год	M	M	Mc---d	3	опред
3	году	год	N	N	Ncmsnnl	1	предл
4	выставлен	выставить	V	V	Vmps-smpse	0	ROOT
5	диагноз	диагноз	N	N	Ncmsnn	4	предик
6	,	,	,	,	,	5	PUNC
7	стенокардия	стенокардия	N	N	Ncfsnn	5	аппоз
8	напряжения	напряжение	N	N	Ncnsgn	7	1-компл
9	,	,	,	,	,	8	PUNC
10	однако	однако	C	C	C	15	огранич
11	характерные	характерный	A	A	Afpmpnf	13	опред
12	ангинозные	ангинозный	A	A	Afpmpnf	13	опред
13	приступы	приступ	N	N	Ncmpnn	15	предик
14	не	не	Q	Q	Q	15	огранич
15	возникают	возникать	V	V	Vmip3p-a-p	5	опред
